instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP2_10_9_2","reform","Feasible",true,false,572099.218875,572047.637799,0.000090,600.029851
"MVPRP2_10_9_2","lbbd_no_init","LBBD_Converged(iter=63,feasCuts=0,optCuts=61,lpDualCuts=158,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,572099.218875,572099.218875,0.000000,118.680821
"MVPRP2_10_9_2","lbbd","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,1277.206785
"MVPRP2_10_9_3","origin","Feasible",true,false,573654.904993,572385.161012,0.002213,606.504331
"MVPRP2_10_9_3","reform","Feasible",true,false,573654.904993,572482.098012,0.002044,600.667064
"MVPRP2_10_9_3","lbbd_no_init","LBBD_Converged(iter=125,feasCuts=0,optCuts=123,lpDualCuts=304,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,573629.931354,573629.931354,0.000000,238.981865
"MVPRP2_10_9_3","lbbd","LBBD_Converged(iter=130,feasCuts=0,optCuts=128,lpDualCuts=306,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,573629.931354,573629.931354,0.000000,445.859682
"MVPRP3_10_3_2","origin","Optimal",true,true,34450.991350,34450.991350,0.000000,0.447509
"MVPRP3_10_3_2","reform","Optimal",true,true,34450.991350,34450.991350,0.000000,0.566730
"MVPRP3_10_3_2","lbbd_no_init","LBBD_Converged(iter=14,feasCuts=2,optCuts=10,lpDualCuts=17,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,34450.991350,34450.991350,0.000000,0.524761
"MVPRP3_10_3_2","lbbd","LBBD_Converged(iter=14,feasCuts=2,optCuts=10,lpDualCuts=17,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,34450.991350,34450.991350,0.000000,17.603938
"MVPRP3_10_3_3","origin","Optimal",true,true,36786.893156,36786.893156,0.000000,0.337237
"MVPRP3_10_3_3","reform","Optimal",true,true,36786.893156,36786.893156,0.000000,0.457194
"MVPRP3_10_3_3","lbbd_no_init","LBBD_Converged(iter=16,feasCuts=0,optCuts=14,lpDualCuts=23,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,36786.893156,36786.893156,0.000000,0.525402
"MVPRP3_10_3_3","lbbd","LBBD_Converged(iter=16,feasCuts=0,optCuts=14,lpDualCuts=23,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,36786.893156,36786.893156,0.000000,5.586910
