instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP3_15_3_2","lbbd_no_init","LBBD_Converged(iter=40,feasCuts=16,optCuts=22,lpDualCuts=46,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,50524.244961,50524.244961,0.000000,4.402689
"MVPRP3_15_3_3","origin","Optimal",true,true,52635.390827,52635.390827,0.000000,8.642203
"MVPRP3_15_3_3","reform","Optimal",true,true,52635.390827,52635.390827,0.000000,9.444751
"MVPRP3_15_3_3","lbbd_no_init","LBBD_Converged(iter=146,feasCuts=129,optCuts=15,lpDualCuts=23,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,52635.390827,52635.390827,0.000000,3.962339
"MVPRP3_15_6_2","origin","Feasible",true,false,96789.187188,88595.396895,0.084656,1201.785167
"MVPRP3_15_6_2","reform","Feasible",true,false,96595.527765,88823.371519,0.080461,1204.682835
"MVPRP3_15_6_2","lbbd_no_init","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,751.235208
"MVPRP3_15_6_3","origin","Feasible",true,false,105464.556831,91263.461813,0.134653,1200.018157
"MVPRP3_15_6_3","reform","Feasible",true,false,104951.142165,91127.378617,0.131716,1203.119028
"MVPRP3_15_6_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=7,feasCuts=0,optCuts=6,lpDualCuts=18,incPruneCuts=0,targetPruneCuts=0)",true,false,106299.439219,84198.887209,0.207908,302.110570
"MVPRP3_15_9_2","origin","Feasible",true,false,146045.145017,131706.911118,0.098177,1201.135564
"MVPRP3_15_9_2","reform","Feasible",true,false,148464.805643,131361.133191,0.115204,1202.686052
"MVPRP3_15_9_2","lbbd_no_init","LBBD_GlobalTimeLimit(iter=3,feasCuts=0,optCuts=2,lpDualCuts=6,incPruneCuts=0,targetPruneCuts=0)",true,false,146734.288453,114401.305807,0.220351,336.801510
"MVPRP3_15_9_3","origin","Feasible",true,false,162508.712288,134991.836433,0.169326,1201.824331
"MVPRP3_15_9_3","reform","Feasible",true,false,162346.648772,134926.384302,0.168899,1200.833646
"MVPRP3_15_9_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=6,feasCuts=0,optCuts=5,lpDualCuts=15,incPruneCuts=0,targetPruneCuts=0)",true,false,160752.774021,115003.657598,0.284593,309.903115
"MVPRP4_15_3_2","origin","Optimal",true,true,29798.556945,29798.539876,0.000001,110.772320
"MVPRP4_15_3_2","reform","Optimal",true,true,29798.556945,29798.527552,0.000001,111.980089
"MVPRP4_15_3_2","lbbd_no_init","LBBD_Converged(iter=36,feasCuts=2,optCuts=32,lpDualCuts=54,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,29798.556945,29798.556945,0.000000,4.445215
"MVPRP4_15_3_3","origin","Optimal",true,true,30258.103837,30258.092982,0.000000,15.549458
"MVPRP4_15_3_3","reform","Optimal",true,true,30258.103837,30258.103837,0.000000,14.943263
"MVPRP4_15_3_3","lbbd_no_init","LBBD_Converged(iter=83,feasCuts=66,optCuts=15,lpDualCuts=27,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,30258.103837,30258.103837,0.000000,1.393880
"MVPRP4_15_6_2","origin","Feasible",true,false,61847.575719,60144.404740,0.027538,1203.841308
"MVPRP4_15_6_2","reform","Feasible",true,false,61530.322823,60075.245705,0.023648,1202.090834
"MVPRP4_15_6_2","lbbd_no_init","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,721.974198
"MVPRP4_15_6_3","origin","Feasible",true,false,63568.395878,60658.665349,0.045773,1200.021832
"MVPRP4_15_6_3","reform","Feasible",true,false,63153.600855,60686.737417,0.039061,1201.180872
"MVPRP4_15_6_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=3,feasCuts=0,optCuts=2,lpDualCuts=6,incPruneCuts=0,targetPruneCuts=0)",true,false,63656.509591,57734.901470,0.093024,305.368199
"MVPRP4_15_9_2","origin","Feasible",true,false,92971.716416,88562.578950,0.047425,1203.604330
"MVPRP4_15_9_2","reform","Feasible",true,false,90979.304144,88424.358132,0.028083,1202.536660
"MVPRP4_15_9_2","lbbd_no_init","LBBD_GlobalTimeLimit(iter=2,feasCuts=0,optCuts=1,lpDualCuts=3,incPruneCuts=0,targetPruneCuts=0)",true,false,91673.994884,84759.948584,0.075420,314.072104
"MVPRP4_15_9_3","origin","Feasible",true,false,93684.493769,89151.741537,0.048383,1201.797317
"MVPRP4_15_9_3","reform","Feasible",true,false,93674.618007,89302.022862,0.046679,1203.163589
"MVPRP4_15_9_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=8,feasCuts=0,optCuts=7,lpDualCuts=21,incPruneCuts=0,targetPruneCuts=0)",true,false,94720.753156,87126.718252,0.080173,304.341575
