instance,f_ratio,f_value,feasible,optimal,objective,time_sec,route_cost,inventory_cost,production_cost,num_production_periods,avg_production_batch,raw_inv_avg,finished_inv_avg
"MVPRP1_10_6_2","0.50","1500.000000","True","True","39703.266068","18.881567","4438.266068","3405.000000","31860.000000","3","304.000000","0.000000","76.000000"
"MVPRP1_10_6_2","1.00","3000.000000","True","True","44203.266068","20.444872","4438.266068","3405.000000","36360.000000","3","304.000000","0.000000","76.000000"
"MVPRP1_10_6_2","2.00","6000.000000","True","True","53203.266068","22.388862","4438.266068","3405.000000","45360.000000","3","304.000000","0.000000","76.000000"
"MVPRP1_10_6_2","5.00","15000.000000","True","True","80203.266068","17.853588","4438.266068","3405.000000","72360.000000","3","304.000000","0.000000","76.000000"
"MVPRP3_10_6_2","0.50","1500.000000","True","True","57456.330342","204.058321","22191.330342","3405.000000","31860.000000","3","304.000000","0.000000","76.000000"
"MVPRP3_10_6_2","1.00","3000.000000","True","True","61956.330342","61.306704","22191.330342","3405.000000","36360.000000","3","304.000000","0.000000","76.000000"
"MVPRP3_10_6_2","2.00","6000.000000","True","True","70956.330342","10.993034","22191.330342","3405.000000","45360.000000","3","304.000000","0.000000","76.000000"
"MVPRP3_10_6_2","5.00","15000.000000","True","True","97956.330342","7.932270","22191.330342","3405.000000","72360.000000","3","304.000000","0.000000","76.000000"
