instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_15_6_2","origin","Feasible",true,false,66625.837084,65248.204441,0.020677,7209.798702
"MVPRP1_15_6_2","reform","Feasible",true,false,66615.208847,65219.116462,0.020958,7206.087354
"MVPRP1_15_6_2","lbbd_no_init","LBBD_GlobalTimeLimit(iter=3,feasCuts=0,optCuts=2,lpDualCuts=6,incPruneCuts=0,targetPruneCuts=0)",true,false,67360.852619,61883.916539,0.081307,7444.883910
"MVPRP1_15_6_3","origin","Feasible",true,false,67926.236801,65775.511896,0.031663,7204.687140
"MVPRP1_15_6_3","reform","Feasible",true,false,67926.113528,65659.810293,0.033364,7204.467979
"MVPRP1_15_6_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=7,feasCuts=0,optCuts=6,lpDualCuts=18,incPruneCuts=0,targetPruneCuts=0)",true,false,69497.628815,65064.716300,0.063785,7403.742544
"MVPRP1_15_9_2","origin","Feasible",true,false,97229.365899,94904.456434,0.023912,7201.991468
