instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_10_3_2","origin","Optimal",true,true,26821.127479,26821.127479,0.000000,7.645230
"MVPRP1_10_3_2","reform","Optimal",true,true,26821.127479,26821.117562,0.000000,9.111730
"MVPRP1_10_3_2","lbbd_no_init","LBBD_Converged(iter=16,feasCuts=2,optCuts=12,lpDualCuts=22,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,26821.127479,26821.127479,0.000000,0.537304
"MVPRP1_10_3_3","origin","Optimal",true,true,27357.482585,27357.482585,0.000000,1.376632
"MVPRP1_10_3_3","reform","Optimal",true,true,27357.482585,27357.482585,0.000000,3.790072
"MVPRP1_10_3_3","lbbd_no_init","LBBD_Converged(iter=12,feasCuts=0,optCuts=10,lpDualCuts=19,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,27357.482585,27357.482585,0.000000,0.283517
"MVPRP1_10_6_2","origin","Optimal",true,true,44203.266068,44203.266068,0.000000,13.548256
"MVPRP1_10_6_2","reform","Optimal",true,true,44203.266068,44203.266068,0.000000,6.041012
"MVPRP1_10_6_2","lbbd_no_init","LBBD_Converged(iter=21,feasCuts=0,optCuts=19,lpDualCuts=51,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,44203.266068,44203.266068,0.000000,6.107403
"MVPRP1_10_6_3","origin","Feasible",true,false,45223.935420,44910.691281,0.006927,1200.169594
"MVPRP1_10_6_3","reform","Optimal",true,true,45223.935420,45223.892407,0.000001,715.066426
"MVPRP1_10_6_3","lbbd_no_init","LBBD_Converged(iter=21,feasCuts=0,optCuts=19,lpDualCuts=47,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,45223.935420,45223.935420,0.000000,2.612719
"MVPRP1_10_9_2","origin","Feasible",true,false,67739.218875,67640.299450,0.001460,1200.054228
"MVPRP1_10_9_2","reform","Feasible",true,false,67739.218875,67597.600951,0.002091,1199.968106
"MVPRP1_10_9_2","lbbd_no_init","LBBD_Converged(iter=55,feasCuts=0,optCuts=53,lpDualCuts=140,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,67739.218875,67739.218875,0.000000,59.012923
"MVPRP1_10_9_3","origin","Feasible",true,false,69294.904993,68040.414725,0.018104,1200.074218
"MVPRP1_10_9_3","reform","Feasible",true,false,69269.931354,68102.772077,0.016849,1200.196426
"MVPRP1_10_9_3","lbbd_no_init","LBBD_Converged(iter=115,feasCuts=0,optCuts=113,lpDualCuts=279,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,69269.931354,69269.931354,0.000000,149.583567
"MVPRP2_10_3_2","origin","Optimal",true,true,203941.127479,203940.970508,0.000001,7.565096
"MVPRP2_10_3_2","reform","Optimal",true,true,203941.127479,203941.127479,0.000000,4.265868
"MVPRP2_10_3_2","lbbd_no_init","LBBD_Converged(iter=16,feasCuts=2,optCuts=12,lpDualCuts=22,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,203941.127479,203941.127479,0.000000,0.293694
"MVPRP2_10_3_3","origin","Optimal",true,true,204477.482585,204477.293349,0.000001,3.718980
"MVPRP2_10_3_3","reform","Optimal",true,true,204477.482585,204477.374120,0.000001,4.511266
"MVPRP2_10_3_3","lbbd_no_init","LBBD_Converged(iter=13,feasCuts=0,optCuts=11,lpDualCuts=19,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,204477.482585,204477.482585,0.000000,0.294351
"MVPRP2_10_6_2","origin","Optimal",true,true,371443.266068,371442.900596,0.000001,5.824000
"MVPRP2_10_6_2","reform","Optimal",true,true,371443.266068,371443.004161,0.000001,4.747286
"MVPRP2_10_6_2","lbbd_no_init","LBBD_Converged(iter=17,feasCuts=0,optCuts=15,lpDualCuts=36,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,371443.266068,371443.266068,0.000000,4.771231
"MVPRP2_10_6_3","origin","Optimal",true,true,372463.935420,372463.935420,0.000000,17.184496
"MVPRP2_10_6_3","reform","Optimal",true,true,372463.935420,372463.935420,0.000000,13.394908
"MVPRP2_10_6_3","lbbd_no_init","LBBD_Converged(iter=20,feasCuts=0,optCuts=18,lpDualCuts=46,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,372463.935420,372463.935420,0.000000,2.231581
"MVPRP2_10_9_2","origin","Feasible",true,false,572099.218875,571964.593786,0.000235,1199.949602
"MVPRP2_10_9_2","reform","Feasible",true,false,572099.218875,572024.059499,0.000131,1199.992190
"MVPRP2_10_9_2","lbbd_no_init","LBBD_Converged(iter=63,feasCuts=0,optCuts=61,lpDualCuts=158,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,572099.218875,572099.218875,0.000000,59.139834
"MVPRP2_10_9_3","origin","Feasible",true,false,573654.904993,572399.116342,0.002189,1200.011648
"MVPRP2_10_9_3","reform","Feasible",true,false,573654.904993,572471.489451,0.002063,1201.420046
"MVPRP2_10_9_3","lbbd_no_init","LBBD_Converged(iter=125,feasCuts=0,optCuts=123,lpDualCuts=304,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,573629.931354,573629.931354,0.000000,128.219934
"MVPRP3_10_3_2","origin","Optimal",true,true,34450.991350,34450.991350,0.000000,0.975054
"MVPRP3_10_3_2","reform","Optimal",true,true,34450.991350,34450.991350,0.000000,1.023444
"MVPRP3_10_3_2","lbbd_no_init","LBBD_Converged(iter=14,feasCuts=2,optCuts=10,lpDualCuts=17,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,34450.991350,34450.991350,0.000000,0.242746
"MVPRP3_10_3_3","origin","Optimal",true,true,36786.893156,36786.893156,0.000000,0.594554
"MVPRP3_10_3_3","reform","Optimal",true,true,36786.893156,36786.893156,0.000000,0.788440
"MVPRP3_10_3_3","lbbd_no_init","LBBD_Converged(iter=16,feasCuts=0,optCuts=14,lpDualCuts=23,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,36786.893156,36786.893156,0.000000,0.256296
"MVPRP3_10_6_2","origin","Optimal",true,true,61956.330342,61956.330342,0.000000,20.045200
"MVPRP3_10_6_2","reform","Optimal",true,true,61956.330342,61956.310539,0.000000,20.889532
"MVPRP3_10_6_2","lbbd_no_init","LBBD_Converged(iter=14,feasCuts=0,optCuts=12,lpDualCuts=35,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,61956.330342,61956.330342,0.000000,28.748640
"MVPRP3_10_6_3","origin","Optimal",true,true,67083.070798,67083.016438,0.000001,290.410738
"MVPRP3_10_6_3","reform","Optimal",true,true,67083.070798,67083.016150,0.000001,201.254108
"MVPRP3_10_6_3","lbbd_no_init","LBBD_Converged(iter=22,feasCuts=0,optCuts=20,lpDualCuts=58,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,67083.070798,67083.070798,0.000000,8.740557
"MVPRP3_10_9_2","origin","Feasible",true,false,94099.166050,93304.123971,0.008449,1200.223348
"MVPRP3_10_9_2","reform","Feasible",true,false,94099.166050,93294.833182,0.008548,1200.041006
"MVPRP3_10_9_2","lbbd_no_init","LBBD_Converged(iter=39,feasCuts=0,optCuts=37,lpDualCuts=94,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,94099.166050,94099.166050,0.000000,164.926419
"MVPRP3_10_9_3","origin","Feasible",true,false,102169.853803,97914.602592,0.041649,1200.474156
"MVPRP3_10_9_3","reform","Feasible",true,false,101996.310902,97706.017890,0.042063,1199.978816
"MVPRP3_10_9_3","lbbd_no_init","LBBD_Converged(iter=104,feasCuts=0,optCuts=102,lpDualCuts=232,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,101996.310902,101996.310902,0.000000,238.999141
"MVPRP4_10_3_2","origin","Optimal",true,true,21446.395520,21446.395520,0.000000,1.375504
"MVPRP4_10_3_2","reform","Optimal",true,true,21446.395520,21446.395520,0.000000,0.927084
"MVPRP4_10_3_2","lbbd_no_init","LBBD_Converged(iter=19,feasCuts=0,optCuts=17,lpDualCuts=25,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,21446.395520,21446.395520,0.000000,0.314092
"MVPRP4_10_3_3","origin","Optimal",true,true,21710.242373,21710.238250,0.000000,0.464372
"MVPRP4_10_3_3","reform","Optimal",true,true,21710.242373,21710.242373,0.000000,0.544308
"MVPRP4_10_3_3","lbbd_no_init","LBBD_Converged(iter=15,feasCuts=0,optCuts=13,lpDualCuts=18,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,21710.242373,21710.242373,0.000000,0.241724
"MVPRP4_10_6_2","origin","Optimal",true,true,40798.266068,40798.233397,0.000001,9.718236
"MVPRP4_10_6_2","reform","Optimal",true,true,40798.266068,40798.266068,0.000000,3.914092
"MVPRP4_10_6_2","lbbd_no_init","LBBD_Converged(iter=6,feasCuts=0,optCuts=4,lpDualCuts=12,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,40798.266068,40798.266068,0.000000,1.019888
"MVPRP4_10_6_3","origin","Optimal",true,true,41823.614160,41823.574281,0.000001,172.490912
"MVPRP4_10_6_3","reform","Optimal",true,true,41823.614160,41823.573487,0.000001,134.316954
"MVPRP4_10_6_3","lbbd_no_init","LBBD_Converged(iter=8,feasCuts=0,optCuts=6,lpDualCuts=17,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,41823.614160,41823.614160,0.000000,0.747480
"MVPRP4_10_9_2","origin","Feasible",true,false,62541.833210,62484.981043,0.000909,1199.997468
"MVPRP4_10_9_2","reform","Feasible",true,false,62541.833210,62511.504615,0.000485,1199.984340
